url,verdict,coverageState,indexingState,robotsTxtState,pageFetchState,userCanonical,googleCanonical,lastCrawlTime,crawledAs,referringSitemaps,error
https://reklamap.pl/blog/poradniki/reklama-zewnetrzna,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/blog/poradniki/reklama-zewnetrzna,https://reklamap.pl/blog/poradniki/reklama-zewnetrzna,2026-08-21T14:19:29Z,MOBILE,,
https://reklamap.pl/blog/poradniki/tablica-reklamowa,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/blog/poradniki/tablica-reklamowa,https://reklamap.pl/blog/poradniki/tablica-reklamowa,2026-08-21T14:21:30Z,MOBILE,,
https://reklamap.pl/blog/prawo-i-regulacje,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/blog/prawo-i-regulacje,https://reklamap.pl/blog/prawo-i-regulacje,2026-09-04T14:03:05Z,MOBILE,,
https://reklamap.pl/blog/prawo-i-regulacje/oplata-reklamowa,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/blog/prawo-i-regulacje/oplata-reklamowa,https://reklamap.pl/blog/prawo-i-regulacje/oplata-reklamowa,2026-08-26T07:01:39Z,MOBILE,,
https://reklamap.pl/blog/prawo-i-regulacje/podatek-od-wynajmu-powierzchni-reklamowej,NEUTRAL,"Strona zeskanowana, ale jeszcze nie zindeksowana",INDEXING_STATE_UNSPECIFIED,ALLOWED,SUCCESSFUL,,,2026-09-07T09:13:46Z,MOBILE,,
https://reklamap.pl/blog/prawo-i-regulacje/pozwolenie-na-tablice-reklamowa,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/blog/prawo-i-regulacje/pozwolenie-na-tablice-reklamowa,https://reklamap.pl/blog/prawo-i-regulacje/pozwolenie-na-tablice-reklamowa,2026-09-03T06:51:01Z,MOBILE,,
https://reklamap.pl/blog/prawo-i-regulacje/reklama-bez-pozwolenia-kary,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/blog/prawo-i-regulacje/reklama-bez-pozwolenia-kary,https://reklamap.pl/blog/prawo-i-regulacje/reklama-bez-pozwolenia-kary,2026-08-22T15:39:49Z,MOBILE,,
https://reklamap.pl/blog/prawo-i-regulacje/uchwala-krajobrazowa-reklama,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/blog/prawo-i-regulacje/uchwala-krajobrazowa-reklama,https://reklamap.pl/blog/prawo-i-regulacje/uchwala-krajobrazowa-reklama,2026-07-13T07:34:05Z,MOBILE,,
https://reklamap.pl/blog/trendy,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/blog/trendy,https://reklamap.pl/blog/trendy,2026-07-28T08:30:44Z,MOBILE,,
https://reklamap.pl/blog/trendy/dooh-reklama-programatyczna,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/blog/trendy/dooh-reklama-programatyczna,https://reklamap.pl/blog/trendy/dooh-reklama-programatyczna,2026-08-22T23:25:57Z,MOBILE,,
https://reklamap.pl/blog/trendy/murale-reklamowe,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/blog/trendy/murale-reklamowe,https://reklamap.pl/blog/trendy/murale-reklamowe,2026-08-21T21:24:33Z,MOBILE,,
https://reklamap.pl/blog/trendy/telebim-ekran-led-reklama,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/blog/trendy/telebim-ekran-led-reklama,https://reklamap.pl/blog/trendy/telebim-ekran-led-reklama,2026-08-21T14:23:31Z,MOBILE,,
https://reklamap.pl/blog/trendy/totem-reklamowy,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/blog/trendy/totem-reklamowy,https://reklamap.pl/blog/trendy/totem-reklamowy,2026-09-01T05:56:23Z,MOBILE,,
https://reklamap.pl/dla-agencji,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/dla-agencji,https://reklamap.pl/dla-agencji,2026-08-28T17:59:58Z,MOBILE,,
